amount,name,unit
75,Edel-Nuss-Mix,g
3,Honig,EL
100,Feldsalat,g
125,Himbeeren,g
4,Kräuter-Dressing,EL
2,kleine Fenchel,
50,"schwarze Oliven, entsteint",g
"1,50",Zitronensaft,EL
"1,50",REWE Bio Olivenöl,EL
,Salz,
2,Sesam,TL
100,Feta,g
2,kleine rote Zwiebeln,
"0,50",altbackenes Brötchen,
2,Knoblauchzehen,
2,"Paprika, gelb",
300,"Rote Bete, gekocht",g
1,Zwiebel,
100,Feta,g
400,Rinderhackfleisch,g
1,Kreuzkümmel,TL
1,Oregano,TL
,Salz,
2,Rapsöl,EL
,Pfeffer,
8,getrocknete Tomaten,
1,Zwiebel,große
1,Knoblauchzehe,
2,Olivenöl,EL
1,Kreuzkümmel,TL
1,Chili Flocken,TL
1,gemahlener Koriander,Messerspitze
1,rote Paprika,
1,gelbe Paprika,
200,Cocktailtomaten,g
400,frischer Spinat,g
300,Kichererbsen,g
1,Feta,Packung(en)
1,Pfeffer,Prise(n)
1,Fladenbrot,
250,REWE Bio Dinkel wie Reis,g
,Salz,
320,REWE Bio Hähnchenbrustfilet,g
2,Öl,EL
2,Knoblauchzehen,
300,REWE Bio Junge Erbsen,g
300,REWE Bio Hokkaido-Kürbis TK,g
,REWE Bio Currypulver,etwas
600,Wasser,ml
2,REWE Bio Gemüsebrühe,TL
1,Ei,
1,Aubergine,
"0,50",Salz,TL
3,REWE Bio Weizenvollkorn Toast,Scheibe(n)
2,REWE Bio Süßrahmbutter,EL
300,REWE Bio Saure Sahne,g
1,Zitrone (Saft davon),
10,REWE Bio TK Petersilie,g
850,REWE Bio fettarme Milch,ml
1,Vanilleschote,
30,Pistazien,g
1,Vanilleschote,
150,REWE Bio Dinkelgrieß,g
2,REWE Bio Blütenhonig,TL
2,Backpulver,TL
2,Honig,EL
300,REWE Bio Haferdrink,ml
200,Himbeeren,g
1,großer Apfel,
1,reife Banane,
,Puderzucker zum Bestäuben,
900,Heidelbeeren,g
350,Rohrohrzucker,g
170,REWE Bio Dinkelvollkornmehl,g
1,Zitrone,
24,TK-Gyozateig (rund),Blätter
30,Mungobohnensprossen,g
1,Möhre,
100,Pak Choi,g
1,Knoblauchzehe,
150,Austernpilze,g
3,Öl,EL
,Salz,
80,REWE Bio Dinkelmehl,g
2,Öl (plus Öl für das Waffeleisen),EL
1,Hoisinsoße,EL
1,Knoblauch,Zehe(n)
2,Avocados,
3,Olivenöl,TL
1,Tahini,TL
"0,50",Limette (Saft),
,Salz,
,Pfeffer,
200,Haselnüsse,g
150,Milch,ml
1,Vanillezucker,Päckchen
50,Zucker,g
,Salz,
50,Butter,g
150,REWE Bio Schweizer Vollmilchschokolade,g
200,"Pistazien (ungesalzen, ohne Schale)",g
100,weiße Schokolade,g
7,Sojasoße,EL
1,Ingwer (daumengroß),Stück
1,Kichererbsen,Dose(n)
"1,50",Vanillemark,TL
2,Kokosöl,TL
250,Ube-Wurzel,g
200,Zucker,g
400,REWE Bio Cashewkerne,g
400,gesüßte Kondensmilch,ml
1,Kokosöl,TL
,Salz,
6,Medjool Datteln,
150,geschälte Hanfsamen,g
100,Butter,g
"0,50",Vanillemark,TL
100,Kokosmilch,ml
1,Salz,Prise(n)
40,Haselnüsse,g
1,Kichererbsen,Dose(n)
"0,50",Vanilleschote,
5,Medjool Datteln,
30,Backkakao,g
100,Sojadrink,ml
4,Puderzucker,EL
2,Tahin (Sesammus),EL
4,Olivenöl,EL
3,Kakaopulver,EL
3,Agavendicksaft,EL
100,Süßlupinen geschrotet,g
1,Zitronensaft,TL
1,Knoblauch,Zehe(n)
3,Basilikum,Stiel(e)
1,"Rote Bete (vorgekocht, vakuumiert)",Knolle(n)
1,Sahne-Meerrettich,TL
1,Bio-Zitrone,
4,REWE Feine Welt Lachstatar,Portionen
,Salz,
,Pfeffer,
50,getrocknete Tomaten,g
,Lebkuchengewürz,
1,Feldsalat,Handvoll
1,Friséesalat,Handvoll
2,REWE Feine Welt Himbeerfruchtessig,EL
4,REWE Feine Welt Steirisches Kürbiskernöl,EL
,Salz,
,Pfeffer,
5,Radieschen,
1,Rucola,Handvoll
,Zitronen-Dill-Senf-Sauce,
,Schnittlauch (nach Belieben),
4,Tortilla-Wraps,
1,Radicchio,Handvoll
4,gehackte Haselnüsse,EL
8,Erdbeeren,
2,Bananen,
4,Äpfel,
50,Zitronensaft,ml
3,Zucker,EL
1,Zimt,TL
100,REWE Feine Welt Fetakäse Lesbos,g
2,frische Himbeeren,Päckchen
100,Nuss-Nougat-Aufstrich,g
2,Eier,
100,Mehl,g
1,Salz,Prise(n)
250,Vanillesoße,ml
100,Milch,ml
"0,50",Hefe,Päckchen
4,Speisestärke,EL
100,Butter,g
"0,50",Bio-Zitrone,
2,Eier,
125,Bier (hell),ml
"1,50",Frittieröl,l
4,Pflaumenmus,EL
1,neutrales Öl,EL
1,Vanilleschote,
500,Vollmilch,ml
250,Mehl,g
1,Vanillezucker,Päckchen
1,Salz,Prise(n)
30,Mohn,g
3,brauner Zucker,EL
2,Maisstärke,EL
50,weiche Butter,g
5,Zucker,EL
1,Salz,TL
2,Eier,
50,Butterschmalz,g
250,Wasser,ml
1,Vanilleschote,
100,Schlagsahne,ml
3,Eigelbe,
500,weißer Spargel,g
1,REWE Bio Zitrone,
,Salz,
1,Zucker,Prise(n)
400,REWE Beste Wahl Tagliatelle mit Spinat,g
1,Radieschen,Bund
4,Olivenöl,EL
,frisch gemahlener Pfeffer,
1,Knoblauch,Zehe(n)
2,Zwiebeln,
600,Kalbfleisch (Schulter),g
1,Öl,EL
200,Kalbsfond,ml
"0,50",Hefe,Würfel
1,Oregano,Zweig(e)
1,Thymian,Zweig(e)
1,Rosmarin,Zweig(e)
200,Sahne,ml
500,Mehl,g
350,Milch,ml
500,Weißbier,ml
500,Tagliatelle,g
50,kalte Butter,g
,Salz,
,Pfeffer,
"0,50",Rotkohl,
1,Knoblauch,Zehe(n)
"0,50",Zitrone,
9,Olivenöl,EL
50,Parmesan,g
50,Cashewkerne,g
,Salz,
,Pfeffer,
400,Tagliatelle,g
1,rote Zwiebel,
1,Walnüsse,Handvoll
120,Parmesankäse,g
2,Lauchzwiebeln,
1,Rosa Beeren,EL
3,Trüffelöl,EL
200,REWE Beste Wahl Milch,ml
400,REWE Beste Wahl Schlagsahne,g
400,REWE Beste Wahl Tagliatelle-Nudeln PRO PLANET,g
,Salz,
1,REWE Beste Wahl Thunfisch-Filets im eigenen Saft PRO PLANET,Dose(n)
15,Kapern,g
60,Saure Sahne,g
"2,50",Zitronensaft,EL
1,Petersilie,Bund
,Pfeffer,
12,Kapernäpfel,
250,g ja! Mehl,
1,REWE Freiland-Ei (Größe M),
130,g ja! Zucker,
"0,30",TL REWE Jodsalz,
75,g ja! Butter,
400,REWE Beste Wahl Tagliatelle Nudeln,g
,REWE Beste Wahl Tafelsalz,
1,Basilikum,Topf
750,ml ja! frische Vollmilch,
5,EL ja! frische Vollmilch,
21,g frische Hefe,
1,Vanilleschote,
"1,50",EL Speisestärke,
1,Eigelb (Größe M),
100,g ja! Pflaumenmus,
1,TL Puderzucker,
,Mehl für Hände,
,Fett für Form,
1,Zwiebel,
1,Knoblauchzehe,
400,Mangold,g
"0,50",Brötchen (vom Vortag),
2,Butter,EL
1,getrocknete Chiliflocken,TL
,Salz,
1,Mehl,TL
150,Milch,ml
360,Tagliatelle,g
1,Mascarpone,EL
,Pfeffer,
3,Zitronensaft,TL
60,Butter,g
,Salz,
150,Mehl,g
4,Eier,
1,Vanilleschote,
500,Milch,ml
6,frische Eigelbe,
100,Zucker,g
200,Schlagsahne,g
200,Schmand,g
200,Rhabarberkonfitüre,g
,Puderzucker,
200,Champignons,g
150,Kräutersaitlinge,g
150,Shiitake,g
1,Zwiebel,
50,Speck,g
1,Olivenöl,EL
100,Weißwein,ml
200,Sahne,ml
400,Champignons,g
2,Zwiebeln,
100,Salzgurken,g
1,Tomatenmark,TL
4,Rapsöl,EL
400,Rinderfond,ml
300,saure Sahne,g
600,Rinderfilet,g
,Pfeffer,
1,Senf,TL
50,Butter,g
250,Vollmilch,ml
1,Muskat,Prise(n)
3,Dill,Stiel(e)
2,Eier,
1,Speisestärke,EL
50,fein geriebener Parmesan,g
,Salz,
,Pfeffer,
,Salz,
1,mehligkochende Kartoffeln,kg
500,Milch,ml
1,Lorbeer,Blatt
,Salz,
,Pfeffer,
,Muskat,
1,Zwiebel,
