x|y|labels
-16.96054458618164|1.297278881072998|mildes
7.380927562713623|-2.184368848800659|geschält
15.227057456970215|-3.2093241214752197|frei
26.46763801574707|-21.303369522094727|frischer
-16.875324249267578|0.7803475260734558|Blätterteig
26.421810150146484|-23.266498565673828|ja!
3.6150779724121094|-2.7194483280181885|gehackte
-22.38057518005371|13.731600761413574|Gnocchi
-12.867379188537598|-1.372626543045044|Rapsöl
-16.904132843017578|28.812759399414062|Schinkenwürfel
-9.739723205566406|-2.5103859901428223|Blätter
-21.7889347076416|7.849222660064697|Wirsing
26.531484603881836|-20.425155639648438|große
26.175548553466797|-17.095619201660156|unbehandelten
-10.607534408569336|-2.605079174041748|Sweet
25.840543746948242|-22.26197052001953|die
-14.172990798950195|-0.811469316482544|Bestreichen
12.729108810424805|-2.645800828933716|Rewe
-20.379404067993164|22.209096908569336|Räucherlachs
-21.974245071411133|9.493762969970703|Geflügelfond
-5.471965789794922|-2.962433099746704|alternativ
26.697179794311523|-22.939979553222656|vom
26.162433624267578|-14.741499900817871|Wilhelm
26.434946060180664|-19.301834106445312|Brandenburg
-18.791528701782227|25.307703018188477|Kirschtomaten
-10.480303764343262|-2.8680508136749268|Tee
24.990127563476562|-12.779618263244629|Beeren
21.377229690551758|-7.625624656677246|Garnieren
8.677058219909668|-2.0046005249023438|optional
-21.61766815185547|19.44746971130371|Sekt
20.78910255432129|-6.555823802947998|Chilischote
-0.6616186499595642|-2.8192052841186523|Pfefferkörner
-21.481731414794922|7.9968767166137695|Rum
1.52924644947052|-2.6751487255096436|geriebene
10.71477222442627|-2.059027671813965|35
16.713768005371094|-3.944702386856079|Verzieren
1.3966072797775269|-2.3790273666381836|Brot
-8.160993576049805|-2.905738592147827|Speck
-22.242389678955078|15.337564468383789|Schinkenspeck
26.013891220092773|-25.14613151550293|nach
26.939037322998047|-22.498537063598633|Belieben
25.926176071166992|-26.16847038269043|für
12.368765830993652|-2.6645216941833496|Rind
-19.820140838623047|4.323404312133789|Kakaoanteil
-5.791857719421387|-3.039551019668579|zur
-0.6265450716018677|-2.819594144821167|Dekoration
-22.38835906982422|13.830949783325195|Sesam
